Temperature,Partition Functions
372.7027027027027,2.2500849617238606e+254
373.69369369369366,2.2680811937397318e+254
374.68468468468467,2.2861731270303913e+254
375.6756756756757,2.304361015384174e+254
376.6666666666667,2.3226451125894197e+254
377.65765765765764,2.341025672434461e+254
378.64864864864865,2.3595029487076393e+254
379.63963963963965,2.378077195197289e+254
380.6306306306306,2.396748665691747e+254
381.6216216216216,2.415517613979356e+254
382.6126126126126,2.434384293848446e+254
383.6036036036036,2.453348959087357e+254
384.5945945945946,2.4724118634844285e+254
385.5855855855856,2.491573260827995e+254
386.57657657657654,2.5108334049063923e+254
387.56756756756755,2.530192549507959e+254
388.55855855855856,2.5496509484210377e+254
389.54954954954957,2.5692088554339597e+254
390.5405405405405,2.588866524335059e+254
391.5315315315315,2.6086242089126806e+254
392.52252252252254,2.628482162955157e+254
393.5135135135135,2.648440640250824e+254
394.5045045045045,2.6684998945880256e+254
395.4954954954955,2.6886601797550924e+254
396.48648648648646,2.7089217495403647e+254
397.47747747747746,2.7292848577321773e+254
398.4684684684685,2.749749758118872e+254
399.4594594594594,2.7703167044887787e+254
400.45045045045043,2.790985950630242e+254
401.44144144144144,2.8117577503315954e+254
402.43243243243245,2.8326323573811784e+254
403.4234234234234,2.8536100255673206e+254
404.4144144144144,2.874691008678372e+254
405.4054054054054,2.895875560502658e+254
406.39639639639637,2.9171639348285215e+254
407.3873873873874,2.9385563854443004e+254
408.3783783783784,2.960053166138331e+254
409.36936936936934,2.981654530698946e+254
410.36036036036035,3.0033607329144864e+254
411.35135135135135,3.025172026573291e+254
412.34234234234236,3.0470886654636967e+254
413.3333333333333,3.0691109033740356e+254
414.3243243243243,3.091238994092653e+254
415.31531531531533,3.1134731914078793e+254
416.3063063063063,3.1358137491080517e+254
417.2972972972973,3.158260920981513e+254
418.2882882882883,3.1808149608165977e+254
419.27927927927925,3.20347612240164e+254
420.27027027027026,3.22624465952498e+254
421.26126126126127,3.2491208259749563e+254
422.2522522522522,3.2721048755398976e+254
423.2432432432432,3.2951970620081536e+254
424.23423423423424,3.318397639168056e+254
425.22522522522524,3.3417068608079394e+254
426.2162162162162,3.3651249807161434e+254
427.2072072072072,3.388652252681005e+254
428.1981981981982,3.4122889304908625e+254
429.18918918918916,3.436035267934049e+254
430.1801801801802,3.459891518798905e+254
431.1711711711712,3.4838579368737696e+254
432.16216216216213,3.507934775946974e+254
433.15315315315314,3.532122289806862e+254
434.14414414414415,3.55642073224177e+254
435.1351351351351,3.5808303570400294e+254
436.1261261261261,3.6053514179899793e+254
437.1171171171171,3.629984168879962e+254
438.1081081081081,3.65472886349831e+254
439.0990990990991,3.6795857556333595e+254
440.0900900900901,3.704555099073453e+254
441.0810810810811,3.729637147606924e+254
442.07207207207205,3.7548321550221116e+254
443.06306306306305,3.78014037510735e+254
444.05405405405406,3.805562061650978e+254
445.045045045045,3.8310974684413307e+254
446.036036036036,3.85674684926675e+254
447.02702702702703,3.882510457915571e+254
448.018018018018,3.908388548176129e+254
449.009009009009,3.9343813738367644e+254
450.0,3.9604891886858126e+254
450.990990990991,3.986712246511608e+254
451.98198198198196,4.0130508011024924e+254
452.97297297297297,4.0395051062467977e+254
453.963963963964,4.066075415732871e+254
454.9549549549549,4.0927619833490374e+254
455.94594594594594,4.119565062883643e+254
456.93693693693695,4.1464849081250224e+254
457.9279279279279,4.173521772861507e+254
458.9189189189189,4.2006759108814434e+254
459.9099099099099,4.227947575973165e+254
460.90090090090087,4.2553370219250053e+254
461.8918918918919,4.282844502525307e+254
462.8828828828829,4.310470271562401e+254
463.8738738738739,4.338214582824636e+254
464.86486486486484,4.366077690100334e+254
465.85585585585585,4.3940598471778426e+254
466.84684684684686,4.4221613078455e+254
467.8378378378378,4.450382325891632e+254
468.8288288288288,4.478723155104588e+254
469.8198198198198,4.5071840492727e+254
470.8108108108108,4.5357652621843077e+254
471.8018018018018,4.56446704762774e+254
472.7927927927928,4.593289659391346e+254
473.78378378378375,4.6222333512634554e+254
474.77477477477476,4.65129837703241e+254
475.76576576576576,4.680484990486539e+254
476.7567567567568,4.709793445414188e+254
477.7477477477477,4.73922399560369e+254
478.73873873873873,4.768776894843381e+254
479.72972972972974,4.798452396921604e+254
480.7207207207207,4.828250755626693e+254
481.7117117117117,4.858172224746985e+254
482.7027027027027,4.888217058070818e+254
483.69369369369366,4.918385509386519e+254
484.68468468468467,4.948677832482446e+254
485.6756756756757,4.979094281146919e+254
486.6666666666667,5.009635109168281e+254
487.65765765765764,5.040300570334869e+254
488.64864864864865,5.071090918435019e+254
489.63963963963965,5.102006407257072e+254
490.6306306306306,5.133047290589354e+254
491.6216216216216,5.164213822220222e+254
