,E (iso),E (SOC),E (SOC+CFS),A (iso),A (SOC),A (SOC+CFS,S (iso),S (SOC),S (SOC+CFS
1264.864864864865,1.4210854715202004e-14,0.025954232976758362,0.04144598493896012,-0.2876509698748743,-0.2059002644518709,0.3469791310197919,0.00022741636507202234,0.00018330372605263046,-0.00011982056798404139
1266.5665665665665,-0.0,0.026035622374820377,0.04154595094119884,-0.2880379646903121,-0.20621224746025815,0.3471830092342421,0.00022741636507199459,0.00018336802919544093,-0.00011979643057957734
1268.2682682682685,1.4210854715202004e-14,0.02611702143261141,0.04164590439377491,-0.28842495950575003,-0.20652433982651006,0.347386846599342,0.00022741636507200846,0.00018343225362318222,-0.00011977255725587055
1269.96996996997,-0.0,0.026198429669449297,0.04174584489859967,-0.28881195432118784,-0.20683654141653324,0.34759064356324104,0.00022741636507200846,0.0001834963991682384,-0.00011974894627617139
1271.6716716716717,1.4210854715202004e-14,0.0262798466071672,0.04184577205973028,-0.28919894913662575,-0.2071488520959515,0.3477944005706523,0.00022741636507203622,0.00018356046566554707,-0.00011972559591888476
1273.3733733733734,-0.0,0.026361271769843597,0.04194568548298605,-0.2895859439520636,-0.2074612717301097,0.3479981180638659,0.00022741636507200846,0.0001836244529525577,-0.00011970250454328146
1275.0750750750751,-0.0,0.02644270468401544,0.04204558477623266,-0.28997293876750146,-0.20777380018407832,0.34820179648201083,0.00022741636507202234,0.00018368836086926632,-0.00011967967037061766
1276.7767767767768,-0.0,0.02652414487855026,0.042145469549282666,-0.2903599335829394,-0.20808643732265775,0.3484054362613235,0.00022741636507202234,0.00018375218925810455,-0.00011965709180090933
1278.4784784784786,-0.0,0.02660559188457512,0.042245339413767624,-0.29074692839837724,-0.20839918301038218,0.3486090378354874,0.00022741636507200846,0.00018381593796394646,-0.00011963476712889554
1280.1801801801803,1.4210854715202004e-14,0.026687045235661344,0.04234519398340808,-0.2911339232138151,-0.20871203711152403,0.3488126016349353,0.00022741636507202234,0.00018387960683418497,-0.00011961269468585556
1281.8818818818818,1.4210854715202004e-14,0.026768504467639787,0.04244503287370094,-0.2915209180292529,-0.2090249994900981,0.34901612808767146,0.00022741636507202234,0.0001839431957186069,-0.0001195908728830325
1283.5835835835837,-0.0,0.026849969118728723,0.04254485570213262,-0.29190791284469086,-0.20933807000986565,0.34921961761872145,0.00022741636507202234,0.00018400670446939993,-0.00011956930001538746
1285.2852852852852,-0.0,0.026931438729434376,0.04264466208812223,-0.29229490766012867,-0.2096512485343383,0.34942307065028644,0.00022741636507202234,0.00018407013294116648,-0.00011954797451192711
1286.9869869869872,-4.263256414560601e-14,0.02701291284260776,0.042744451652907856,-0.2926819024755666,-0.20996453492678255,0.34962648760204534,0.00022741636507200846,0.00018413348099090288,-0.00011952689466411537
